Label,Type_Sequence,First_Stage_Time_Diff,Next_Packet_After_First_Stage,Type_Sequence_In_Range,Dst_One_Exist,Dst_One_Count,Type_1_First_Occurrence_Time,Type_1_Last_Time,Type_1_Count,Type_2_First_Occurrence_Time,Type_2_Last_Time,Type_2_Count,Type_3_First_Occurrence_Time,Type_3_Last_Time,Type_3_Count,Type_4_First_Occurrence_Time,Type_4_Last_Time,Type_4_Count,Type_5_First_Occurrence_Time,Type_5_Last_Time,Type_5_Count,Type_6_First_Occurrence_Time,Type_6_Last_Time,Type_6_Count,Probe_Time,Assoc_Time,Gap_23_Time,Gap_34_Time,Gap_45_Time,Type_6_Time,Probe_Time_Ratio,Assoc_Time_Ratio,Gap_23_Time_Ratio,Gap_34_Time_Ratio,Gap_45_Time_Ratio,Type_6_Time_Ratio,First_Stage_Time_Diff_Ratio,A_Mean_IAT,A_IAT_StdDev,A_IAT_Q1,A_IAT_Median,A_IAT_Q3,A_IAT_IQR,A_IAT_P10,A_IAT_P90,A_IAT_P95,A_IAT_Skew_Ratio,A_CV,A_Skewness,A_Kurtosis,A_Retran_intervals,A_Burst_Rate,A_Burst_Duration,A_Silence_Count,A_Silence_Rate,A_Silence_Total_Duration,A_Silence_Max_Duration,A_Silence_Avg_Duration,Trans_1_1,Trans_1_2,Trans_1_3,Trans_1_4,Trans_1_5,Trans_1_6,Trans_2_1,Trans_2_2,Trans_2_3,Trans_2_4,Trans_2_5,Trans_2_6,Trans_3_1,Trans_3_2,Trans_3_3,Trans_3_4,Trans_3_5,Trans_3_6,Trans_4_1,Trans_4_2,Trans_4_3,Trans_4_4,Trans_4_5,Trans_4_6,Trans_5_1,Trans_5_2,Trans_5_3,Trans_5_4,Trans_5_5,Trans_5_6,Trans_6_1,Trans_6_2,Trans_6_3,Trans_6_4,Trans_6_5,Trans_6_6,excess,lack,Range_1,Range_2,Range_1_2,lk_count,lk_elem_1,lk_elem_2,lk_elem_3,lk_elem_4,lk_elem_5
HONOR-70_1,"1,1,2,2,3,3,4,5,6,6,6,6",0.2029309272766113,5.603617906570435,"1,2,1,2,2",0,0,0.0,9.5367431640625e-07,2,0.0018599033355712,0.0018699169158935,2,0.0042219161987304,0.0162389278411865,2,0.0189189910888671,0.0189189910888671,1,0.0540738105773925,0.0540738105773925,1,0.1733260154724121,0.2029309272766113,4,0.0018699169158935,0.035154819488525405,0.0023519992828369,0.0026800632476806016,0.035154819488525405,0.02960491180419919,0.009214548718563,0.17323539570982463,0.011590147023922748,0.013206775742109817,0.17323539570982463,0.14588664331014117,1.0,0.018448266116055576,0.03507699741686665,0.002105474472045847,0.004583120346069308,0.01572990417480475,0.013624429702758904,1.0013580322300103e-05,0.035154819488525405,0.07720351219177252,6.670498881548195,1.9013709579101878,2.426995688469511,4.544770407329387,0.006938815116882334,0.5833333333333334,0.006901979446411002,1,0.09090909090909091,0.11925220489501961,0.11925220489501961,0.11925220489501961,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,"[(1, 1, 2), (2, 2, 3), (3, 3, 4)]",(),2,3,1,0,0,0,0,0,0
HONOR-70_1,"1,2,2,3,3,4,5,6,6,6,6",0.2005419731140136,9.231966972351074,"1,1,1,2,2,1,1,2,1,2",0,0,0.0,0.0,1,8.821487426757812e-06,0.001039981842041,2,0.0038189888000488,0.0156619548797607,2,0.0178198814392089,0.0178198814392089,1,0.052992820739746,0.052992820739746,1,0.1697227954864502,0.2005419731140136,4,0.001039981842041,0.035172939300537095,0.0027790069580078,0.0021579265594482006,0.035172939300537095,0.030819177627563393,0.005185856236937202,0.17538941476625602,0.0138574828743101,0.010760473360962497,0.17538941476625602,0.1536794375212507,1.0,0.020054197311401355,0.035682493809149944,0.0023131966590881005,0.005343556404113756,0.018059790134429887,0.015746593475341786,0.0009289264678954938,0.04332864284515378,0.08002930879592891,7.108577802565549,1.7793030184690304,2.2535834885922545,3.700686173764379,0.008738660812377907,0.7272727272727273,0.010386943817138602,1,0.1,0.1167299747467042,0.1167299747467042,0.1167299747467042,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,"[(2, 2, 3), (3, 3, 4)]",(),6,4,2,0,0,0,0,0,0
HONOR-70_1,"1,2,2,3,3,4,5,6,6,6,6",0.201427936553955,4.803907871246338,"1,2,2,2,1,2,2,1,1,2,2,1",0,0,0.0,0.0,1,8.821487426757812e-06,0.001072883605957,2,0.0034358501434326,0.0149519443511962,2,0.0178868770599365,0.0178868770599365,1,0.0530438423156738,0.0530438423156738,1,0.172480821609497,0.201427936553955,4,0.001072883605957,0.035156965255737305,0.0023629665374756,0.0029349327087402986,0.035156965255737305,0.028947114944458008,0.0053263892998755644,0.1745386755045275,0.011731076522459681,0.01457063384032701,0.1745386755045275,0.14370953423684685,1.0,0.0201427936553955,0.036526899864989214,0.0025059580802917745,0.004896044731140151,0.01724529266357418,0.014739334583282407,0.0009585380554198938,0.043584966659545865,0.08151097297668444,7.902076891237094,1.8133979074548592,2.2800737290980235,3.786659289079193,0.00830545425415037,0.7272727272727273,0.010479688644409199,1,0.1,0.11943697929382319,0.11943697929382319,0.11943697929382319,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,"[(2, 2, 3), (3, 3, 4)]",(),5,7,3,0,0,0,0,0,0
HONOR-70_1,"1,2,2,3,3,4,5,6,6,6,6",0.2076501846313476,4.534456014633179,"1,1,2,1,1,2,1",0,0,0.0,0.0,1,0.0010731220245361,0.0010840892791748,2,0.0032260417938232,0.0143060684204101,2,0.0240020751953125,0.0240020751953125,1,0.0589871406555175,0.0589871406555175,1,0.1780459880828857,0.2076501846313476,4,0.0010840892791748,0.034985065460205,0.0021419525146484,0.0096960067749024,0.034985065460205,0.029604196548461914,0.005220747966583518,0.16848078186068483,0.010315196774089666,0.046693947285027626,0.16848078186068483,0.14256763894055677,1.0,0.02076501846313476,0.036119788844599966,0.0026602149009704243,0.007803082466125502,0.017379283905029335,0.01471906900405891,0.00096690654754636,0.04339244365692129,0.08122564554214466,4.560936187115184,1.7394537312223124,2.285215413555923,3.817541842208226,0.008139038085937503,0.7272727272727273,0.013351202011108301,1,0.1,0.11905884742736819,0.11905884742736819,0.11905884742736819,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,"[(2, 2, 3), (3, 3, 4)]",(),5,2,2,0,0,0,0,0,0
HONOR-70_1,"1,2,2,3,3,4,5,6,6,6,6",0.2012319564819336,5.778409004211426,"1,2,2,1,2,1,2,1,2",0,0,0.0,0.0,1,0.0013430118560791,0.0013480186462402,2,0.0039460659027099,0.0157580375671386,2,0.0182781219482421,0.0182781219482421,1,0.0528531074523925,0.0528531074523925,1,0.1725859642028808,0.2012319564819336,4,0.0013480186462402,0.034574985504150405,0.0025980472564697005,0.0025200843811035017,0.034574985504150405,0.02864599227905279,0.006698829896638329,0.17181657480557525,0.012910709123393881,0.01252328121815857,0.17181657480557525,0.1423530972906115,1.0,0.02012319564819336,0.036574227404927794,0.0025395750999450514,0.0049489736557006975,0.01701402664184572,0.01447445154190067,0.0012092113494873,0.04309077262878416,0.08141181468963615,7.7070119234011525,1.8175158679735537,2.293584845917377,3.8362356415432437,0.008092594146728518,0.7272727272727273,0.010364055633544903,1,0.1,0.11973285675048831,0.11973285675048831,0.11973285675048831,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,"[(2, 2, 3), (3, 3, 4)]",(),4,5,3,0,0,0,0,0,0
HONOR-70_1,"1,2,2,3,5,6,6,6,6",0.2026319503784179,8.583173036575317,"2,1,2,1,2,1,2,1,2,1,2,1,2,1,2",0,0,0.0,0.0,1,8.106231689453125e-06,0.0017340183258056,2,0.0155630111694335,0.0155630111694335,1,0.0,0.0,0,0.0528359413146972,0.0528359413146972,1,0.172253131866455,0.2026319503784179,4,0.0017340183258056,0.0528359413146972,0.0138289928436279,-0.0155630111694335,0.0528359413146972,0.03037881851196292,0.008557477350276189,0.2607483233321565,0.06824685257089057,-0.07680432992116676,0.2607483233321565,0.1499211671961409,1.0,0.02532899379730224,0.039890586365258975,0.0037456154823302646,0.010428905487060547,0.023516595363616992,0.01977097988128673,0.001210570335388139,0.061916208267211906,0.09066669940948481,4.936980476429975,1.5748981852373336,1.896346384630687,2.12166373028767,0.008026182651519767,0.7777777777777778,0.013181686401367096,1,0.125,0.11941719055175778,0.11941719055175778,0.11941719055175778,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,"[(2, 2, 3), (3, 5, 5)]","(4,)",7,8,7,1,0,0,0,1,0
HONOR-70_1,"1,2,2,3,3,4,5,6,6,6,6,6",0.2011151313781738,4.36447811126709,"1,2,1,1,2,1,2,1,2,1,2,2,1",0,0,0.0,0.0,1,5.0067901611328125e-06,0.0013949871063232,2,0.003688097000122,0.0160930156707763,2,0.0195450782775878,0.0195450782775878,1,0.0544910430908203,0.0544910430908203,1,0.1727981567382812,0.2011151313781738,5,0.0013949871063232,0.0349459648132325,0.0022931098937988004,0.003452062606811499,0.0349459648132325,0.028316974639892606,0.0069362613183991985,0.1737609923915702,0.011401975963145567,0.017164609063254885,0.1737609923915702,0.14079982170334962,1.0,0.018283193761652165,0.03472191130857355,0.0019456148147583008,0.003694772720336914,0.014721989631652848,0.012776374816894547,0.001389980316162067,0.0349459648132325,0.0766265392303467,8.458217719558645,1.899116301080862,2.448452186512383,4.615361025535206,0.007018645604451495,0.6666666666666666,0.008738279342651301,1,0.09090909090909091,0.1183071136474609,0.1183071136474609,0.1183071136474609,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,"[(2, 2, 3), (3, 3, 4)]",(),7,6,5,0,0,0,0,0,0
HONOR-70_1,"1,2,2,3,3,4,5,6,6,6,6",0.2017698287963867,4.601876974105835,"2,1,2,2,1,1,2,2,1",0,0,0.0,0.0,1,1.0013580322265623e-05,0.0015029907226562,2,0.0030620098114013,0.0154390335083007,2,0.0178258419036865,0.0178258419036865,1,0.0533599853515625,0.0533599853515625,1,0.1742339134216308,0.2017698287963867,4,0.0015029907226562,0.035534143447876004,0.0015590190887451,0.0023868083953857994,0.035534143447876004,0.027535915374755887,0.007449036021004522,0.17611227436652488,0.007726720580797852,0.011829362247189171,0.17611227436652488,0.1364719172287319,1.0,0.02017698287963867,0.0370744848983541,0.001765966415405275,0.004155993461608901,0.017512202262878414,0.01574623584747314,0.0013446807861327674,0.0440681219100952,0.08247102499008169,9.603510885465928,1.837464259127033,2.273324140604193,3.764362522396155,0.008281183242797845,0.7272727272727273,0.008922815322875994,1,0.1,0.1208739280700683,0.1208739280700683,0.1208739280700683,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,"[(2, 2, 3), (3, 3, 4)]",(),4,5,3,0,0,0,0,0,0
HONOR-70_1,"2,2,3,3,4,5,6,6,6,6",0.2002718448638916,4.482576847076416,"1,1,2,1,2,1,2,1,2,2",0,0,0.0,0.0,0,0.0,0.0010459423065185,2,0.0021369457244873,0.014056921005249,2,0.0164110660552978,0.0164110660552978,1,0.0513279438018798,0.0513279438018798,1,0.171630859375,0.2002718448638916,4,0.0010459423065185,0.034916877746582003,0.0010910034179687999,0.0023541450500488004,0.034916877746582003,0.0286409854888916,0.0052226128302225484,0.17434741149117666,0.005447612562366247,0.011754747911014253,0.17434741149117666,0.14301054403506663,1.0,0.022252427207099065,0.03840520428988485,0.0023541450500488004,0.004885911941528404,0.01923608779907221,0.01688194274902341,0.00108199119567874,0.05199408531188966,0.08614850044250488,9.641633728590072,1.7258883236626275,2.1201594745080934,3.0253419247396103,0.008321380615234361,0.7,0.009010076522827088,1,0.1111111111111111,0.1203029155731202,0.1203029155731202,0.1203029155731202,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,"[(2, 2, 3), (3, 3, 4)]","(1,)",5,5,3,1,1,0,0,0,0
HONOR-70_1,"1,2,2,3,3,4,5,6,6,6,6,1,2,1,1,2,2,1,2,1,2,2,3,3,4,5,6,6,6,6",0.1976430416107177,4.496638059616089,"1,2,1,1,2,2,1,2",1,4,0.0,26.347325086593628,6,5.0067901611328125e-06,26.34830594062805,8,0.0035929679870605,26.362158060073853,4,0.0170450210571289,26.36524200439453,2,0.0516989231109619,26.40017509460449,2,0.1711480617523193,26.54918098449707,8,26.34830594062805,26.38313007354736,-26.34471297264099,-26.345113039016724,-26.31354308128357,26.37803292274475,133.3125908501463,133.48878796103625,-133.29441177357586,-133.29643596007122,-133.13670376066835,133.46299828100973,1.0,0.9154889994654162,4.07632779108291,0.0012080669403085054,0.004225969314578748,0.01960802078246715,0.018399953842158645,0.0007793903350851397,0.1206177234649658,2.6295138359069736,27.54202538784624,4.452623454201209,4.830769695961962,22.037592701916676,0.006920099258423069,0.7333333333333333,0.01950263977050423,2,0.06896551724137931,26.002374172210693,21.703379154205322,13.001187086105347,1,5,0,0,0,0,3,3,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,6,"[(2, 2, 3), (3, 3, 4), (5, 1, 2, 1, 1, 2, 2, 1, 2, 1, 2, 2, 3, 3, 4, 5, 5)]",(),4,4,2,0,0,0,0,0,0
